#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A18D20
#Date Time: 2020-09-17 16:15:27.334
#Sample rate: 800000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 2: Range: 1.1 V/div Offset: 0 V Attenuation: 1 X
#Math 1: Function: C1 / 100
#Wavegen Channel 1: Running
#Mode: Simple
#Type: RampUp
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 5 V
#Offset: 0 V
#Symmetry: 100 %
#Phase: 0 °

Time (s),Channel 2 (V),Math 1 (A)
-0.0021195,-1.118819810551141,-0.001096185835824116
-0.00211825,-1.111496442134357,-0.001082913093260718
-0.002117,-1.096849705300786,-0.001072958536338164
-0.00211575,-1.089526336884005,-0.001059685793774772
-0.0021145,-1.078541284258829,-0.001049731236852224
-0.00211325,-1.067556231633654,-0.001036458494288826
-0.002112,-1.052909494800086,-0.001023185751725429
-0.00211075,-1.045586126383305,-0.001013231194802885
-0.0021095,-1.027277705341342,-0.0009999584522394826
-0.002108249999999999,-1.023616021132949,-0.0009933220809577776
-0.002107,-1.019954336924558,-0.0009800493383943861
-0.00210575,-0.9943225474658096,-0.0009734129671126826
-0.0021045,-0.9833374948406388,-0.0009634584101901388
-0.00210325,-0.9723524422154628,-0.0009501856676267412
-0.002102,-0.961367389590287,-0.0009369129250633434
-0.00210075,-0.9467206527567191,-0.0009236401824999457
-0.0020995,-0.9357356001315483,-0.000913685625577402
-0.00209825,-0.9284122317147594,-0.0009037310686548491
-0.002096999999999999,-0.9137654948811851,-0.0008937765117322948
-0.00209575,-0.8991187580476239,-0.0008805037691689031
-0.0020945,-0.895457073839227,-0.0008738673978871967
-0.00209325,-0.884472021214056,-0.0008572764696829572
-0.002092,-0.8698252843804883,-0.0008473219127604089
-0.00209075,-0.8551785475469271,-0.0008373673558378651
-0.0020895,-0.8478551791301365,-0.0008240946132744628
-0.00208825,-0.8368701265049657,-0.0008108218707110711
-0.002087,-0.8258850738797849,-0.0008041854994293663
-0.002085749999999999,-0.8149000212546025,-0.0007909127568659624
-0.0020845,-0.8002532844210413,-0.0007776400143025708
-0.00208325,-0.7929299160042573,-0.0007676854573800225
-0.002082,-0.7929299160042573,-0.0007577309004574742
-0.00208075,-0.7672981265455137,-0.0007477763435349259
-0.0020795,-0.7563130739203429,-0.0007311854153306864
-0.00207825,-0.7489897055035539,-0.0007212308584081305
-0.002077,-0.7380046528783831,-0.0007079581158447388
-0.00207575,-0.7233579160448103,-0.0006980035589221845
-0.0020745,-0.7123728634196278,-0.0006814126307179343
-0.00207325,-0.6977261265860666,-0.0006747762594362384
-0.002072,-0.6867410739608908,-0.0006615035168728408
-0.00207075,-0.6794177055441069,-0.0006515489599502925
-0.0020695,-0.6647709687105392,-0.0006415944030277441
-0.00206825,-0.6537859160853682,-0.0006316398461052004
-0.002067,-0.6428008634601874,-0.0006216852891826475
-0.002065749999999999,-0.6281541266266162,-0.0006117307322600932
-0.0020645,-0.6208307582098358,-0.0005984579896967016
-0.00206325,-0.6061840213762613,-0.0005851852471332978
-0.002062,-0.5915372845427,-0.0005719125045699061
-0.00206075,-0.5842139161259161,-0.0005586397620065083
-0.0020595,-0.5695671792923485,-0.0005520033907248095
-0.00205825,-0.5622438108755645,-0.0005420488338022612
-0.002057,-0.5512587582503937,-0.0005254579055980217
